# Read-only Vdbox snapshot
# captured: 2026-08-07T14:00:21+09:00
# device: /dev/ttyUSB0
# range: 0x00-0x5f

Input: 1920x1080
Crop: 839x839 at (673, 71)

Vdbox read-only scan: 0x00-0x5f
  0x00 = 0x01000427 (16778279)
  0x01 = 0x00000000 (0)
  0x02 = 0x00000000 (0)
  0x03 = 0x00000012 (18)
  0x04 = 0x00000000 (0)
  0x05 = 0x00000000 (0)
  0x06 = 0x00000000 (0)
  0x07 = 0x07800438 (125830200)
  0x08 = 0x00000000 (0)
  0x09 = 0x00000001 (1)
  0x0a = 0x07800438 (125830200)
  0x0b = 0x0efe086f (251529327)
  0x0c = 0x0000411b (16667)
  0x0d = 0x00001a5e (6750)
  0x0e = 0x00000000 (0)
  0x0f = 0x00000001 (1)
  0x10 = 0x00000000 (0)
  0x11 = 0x00000000 (0)
  0x12 = 0x12345678 (305419896)
  0x13 = 0x03fc03fc (66847740)
  0x14 = 0x00000001 (1)
  0x15 = 0x00000000 (0)
  0x16 = 0x00000000 (0)
  0x17 = 0x00000000 (0)
  0x18 = 0x00000000 (0)
  0x19 = 0x00000000 (0)
  0x1a = 0x00000000 (0)
  0x1b = 0x00000000 (0)
  0x1c = 0x00000000 (0)
  0x1d = 0x00000000 (0)
  0x1e = 0x00000000 (0)
  0x1f = 0x00000000 (0)
  0x20 = 0x00000000 (0)
  0x21 = 0x0000ffff (65535)
  0x22 = 0x0000007a (122)
  0x23 = 0x00000001 (1)
  0x24 = 0x00000000 (0)
  0x25 = 0xffffffff (4294967295)
  0x26 = 0x00000000 (0)
  0x27 = 0x00000000 (0)
  0x28 = 0x00000000 (0)
  0x29 = 0x00000000 (0)
  0x2a = 0x00000000 (0)
  0x2b = 0x00000000 (0)
  0x2c = 0x00000000 (0)
  0x2d = 0x00000000 (0)
  0x2e = 0x00000000 (0)
  0x2f = 0x00000000 (0)
  0x30 = 0x00000000 (0)
  0x31 = 0x00000000 (0)
  0x32 = 0x00000000 (0)
  0x33 = 0x00000000 (0)
  0x34 = 0x00000000 (0)
  0x35 = 0x00000000 (0)
  0x36 = 0x00000000 (0)
  0x37 = 0x00000000 (0)
  0x38 = 0x00000000 (0)
  0x39 = 0x00000000 (0)
  0x3a = 0x00000000 (0)
  0x3b = 0x00000000 (0)
  0x3c = 0x00000000 (0)
  0x3d = 0x00000000 (0)
  0x3e = 0x00000000 (0)
  0x3f = 0x00000000 (0)
  0x40 = 0x00000000 (0)
  0x41 = 0x00000000 (0)
  0x42 = 0x00000000 (0)
  0x43 = 0x00000000 (0)
  0x44 = 0x00000000 (0)
  0x45 = 0x00000000 (0)
  0x46 = 0x00000000 (0)
  0x47 = 0x00000000 (0)
  0x48 = 0x00000000 (0)
  0x49 = 0x00000000 (0)
  0x4a = 0x00000000 (0)
  0x4b = 0x00000000 (0)
  0x4c = 0x00000000 (0)
  0x4d = 0x00000000 (0)
  0x4e = 0x00000000 (0)
  0x4f = 0x00000000 (0)
  0x50 = 0x00000000 (0)
  0x51 = 0x00000000 (0)
  0x52 = 0x00000000 (0)
  0x53 = 0x00000000 (0)
  0x54 = 0x00000000 (0)
  0x55 = 0x00000000 (0)
  0x56 = 0x00000000 (0)
  0x57 = 0x00000000 (0)
  0x58 = 0x00000000 (0)
  0x59 = 0x00000000 (0)
  0x5a = 0x00000000 (0)
  0x5b = 0x00000000 (0)
  0x5c = 0x00000001 (1)
  0x5d = 0x00000000 (0)
  0x5e = 0x00000000 (0)
  0x5f = 0x00000000 (0)
Responsive addresses: 96
